PMID;;;Title;Abstract;Authors;Journal;Publication Date;AuthorIdentified
35734307;Clinical data;Survival model;Association between type of bystander cardiopulmonary resuscitation and survival in out-of-hospital cardiac arrest: A machine learning study.;"AIM: In the event of an out of hospital cardiac arrest (OHCA) it is recommended for a sole untrained bystander to perform compression only CPR (CO-CPR). However, it remains unknown if CO-CPR is inferior to standard CPR (S-CPR), including both compressions and ventilation, in terms of survival. One could speculate that due to the current pandemic, bystanders may be more hesitant performing mouth-to-mouth ventilation. The aim of this study is to assess the association between type of bystander CPR and survival in OHCA. METHODS: This study included all patients with a bystander treated OHCA between year 2015-2019 in ages 18-100 using The Swedish Registry for Cardiopulmonary Resuscitation (SRCR). We compared CO-CPR to S-CPR in terms of 30-day survival using a propensity score approach based on machine learning adjusting for a large number of covariates. RESULTS: A total of 13,481 patients were included (5,293 with S-CPR and 8,188 with CO-CPR). The matched subgroup consisted of 2994 cases in each group.Gradient boosting were the best models with regards to predictive accuracy (for type of bystander CPR) and covariate balance. The difference between S-CPR and CO-CPR in all 30 models computed on covariate adjustment and 1-to-1 matching were non-significant. In the 30 weighted models, three comparisons (S-CPR vs. CO-CPR) were significant in terms of improved survival; odds ratio for men was 1.21 (99% confidence interval (CI) 1.02-1.43; Average treatment effect (ATE)); for patients >/=73 years 1.57 (99% CI 1.17-2.12) for Average treatment effect on treated (ATT) and 1.63 (99% CI 1.18-2.25) for ATE. Remaining 27 models showed no differences. No significances remain after adjustment for multiple testing. CONCLUSION: We found no significant differences between S-CPR and CO-CPR in terms of survival, supporting current recommendations for untrained bystanders regarding CO-CPR.";['Jerkeman M', 'Lundgren P', 'Omerovic E', 'Stromsoe A', 'Riva G', 'Hollenberg J', 'Nivedahl P', 'Herlitz J', 'Rawshani A'];Resuscitation plus;2022 Jun;Rawshani
34819872;Clinical data;Survival model;Combined In-silico and Machine Learning Approaches Toward Predicting Arrhythmic Risk in Post-infarction Patients.;"Background: Remodeling due to myocardial infarction (MI) significantly increases patient arrhythmic risk. Simulations using patient-specific models have shown promise in predicting personalized risk for arrhythmia. However, these are computationally- and time- intensive, hindering translation to clinical practice. Classical machine learning (ML) algorithms (such as K-nearest neighbors, Gaussian support vector machines, and decision trees) as well as neural network techniques, shown to increase prediction accuracy, can be used to predict occurrence of arrhythmia as predicted by simulations based solely on infarct and ventricular geometry. We present an initial combined image-based patient-specific in silico and machine learning methodology to assess risk for dangerous arrhythmia in post-infarct patients. Furthermore, we aim to demonstrate that simulation-supported data augmentation improves prediction models, combining patient data, computational simulation, and advanced statistical modeling, improving overall accuracy for arrhythmia risk assessment. Methods: MRI-based computational models were constructed from 30 patients 5 days post-MI (the ""baseline"" population). In order to assess the utility biophysical model-supported data augmentation for improving arrhythmia prediction, we augmented the virtual baseline patient population. Each patient ventricular and ischemic geometry in the baseline population was used to create a subfamily of geometric models, resulting in an expanded set of patient models (the ""augmented"" population). Arrhythmia induction was attempted via programmed stimulation at 17 sites for each virtual patient corresponding to AHA LV segments and simulation outcome, ""arrhythmia,"" or ""no-arrhythmia,"" were used as ground truth for subsequent statistical prediction (machine learning, ML) models. For each patient geometric model, we measured and used choice data features: the myocardial volume and ischemic volume, as well as the segment-specific myocardial volume and ischemia percentage, as input to ML algorithms. For classical ML techniques (ML), we trained k-nearest neighbors, support vector machine, logistic regression, xgboost, and decision tree models to predict the simulation outcome from these geometric features alone. To explore neural network ML techniques, we trained both a three - and a four-hidden layer multilayer perceptron feed forward neural networks (NN), again predicting simulation outcomes from these geometric features alone. ML and NN models were trained on 70% of randomly selected segments and the remaining 30% was used for validation for both baseline and augmented populations. Results: Stimulation in the baseline population (30 patient models) resulted in reentry in 21.8% of sites tested; in the augmented population (129 total patient models) reentry occurred in 13.0% of sites tested. ML and NN models ranged in mean accuracy from 0.83 to 0.86 for the baseline population, improving to 0.88 to 0.89 in all cases. Conclusion: Machine learning techniques, combined with patient-specific, image-based computational simulations, can provide key clinical insights with high accuracy rapidly and efficiently. In the case of sparse or missing patient data, simulation-supported data augmentation can be employed to further improve predictive results for patient benefit. This work paves the way for using data-driven simulations for prediction of dangerous arrhythmia in MI patients.";['Maleckar MM', 'Myklebust L', 'Uv J', 'Florvaag PM', 'Strom V', 'Glinge C', 'Jabbari R', 'Vejlstrup N', 'Engstrom T', 'Ahtarovski K', 'Jespersen T', 'Tfelt-Hansen J', 'Naumova V', 'Arevalo H'];Frontiers in physiology;2021;Vejlstrup
34507573;Clinical data;Survival model;The BAriatic surgery SUbstitution and nutrition (BASUN) population: a data-driven exploration of predictors for obesity.;"BACKGROUND: The development of obesity is most likely due to a combination of biological and environmental factors some of which might still be unidentified. We used a machine learning technique to examine the relative importance of more than 100 clinical variables as predictors for BMI. METHODS: BASUN is a prospective non-randomized cohort study of 971 individuals that received medical or surgical treatment (treatment choice was based on patient's preferences and clinical criteria, not randomization) for obesity in the Vastra Gotaland county in Sweden between 2015 and 2017 with planned follow-up for 10 years. This study includes demographic data, BMI, blood tests, and questionnaires before obesity treatment that cover three main areas: gastrointestinal symptoms and eating habits, physical activity and quality of life, and psychological health. We used random forest, with conditional variable importance, to study the relative importance of roughly 100 predictors of BMI, covering 15 domains. We quantified the predictive value of each individual predictor, as well as each domain. RESULTS: The participants received medical (n = 382) or surgical treatment for obesity (Roux-en-Y gastric bypass, n = 388; sleeve gastrectomy, n = 201). There were minor differences between these groups before treatment with regard to anthropometrics, laboratory measures and results from questionnaires. The 10 individual variables with the strongest predictive value, in order of decreasing strength, were country of birth, marital status, sex, calcium levels, age, levels of TSH and HbA1c, AUDIT score, BE tendencies according to QEWPR, and TG levels. The strongest domains predicting BMI were: Socioeconomic status, Demographics, Biomarkers (notably TSH), Lifestyle/habits, Biomarkers for cardiovascular disease and diabetes, and Potential anxiety and depression. CONCLUSIONS: Lifestyle, habits, age, sex and socioeconomic status are some of the strongest predictors for BMI levels. Potential anxiety and / or depression and other characteristics captured using questionnaires have strong predictive value. These results confirm previously suggested associations and advocate prospective studies to examine the value of better characterization of patients eligible for obesity treatment, and consequently to evaluate the treatment effects in groups of patients. TRIAL REGISTRATION: March 03, 2015; NCT03152617 .";['Hoskuldsdottir G', 'Engstrom M', 'Rawshani A', 'Wallenius V', 'Lener F', 'Fandriks L', 'Mossberg K', 'Eliasson B'];BMC endocrine disorders;2021 Sep 10;Rawshani
34426590;Clinical data;Other;Identification of markers that distinguish adipose tissue and glucose and insulin metabolism using a multi-modal machine learning approach.;The study of metabolomics has improved our knowledge of the biology behind type 2 diabetes and its related metabolic physiology. We aimed to investigate markers of adipose tissue morphology, as well as insulin and glucose metabolism in 53 non-obese male individuals. The participants underwent extensive clinical, biochemical and magnetic resonance imaging phenotyping, and we also investigated non-targeted serum metabolites. We used a multi-modal machine learning approach to evaluate which serum metabolomic compounds predicted markers of glucose and insulin metabolism, adipose tissue morphology and distribution. Fasting glucose was associated with metabolites of intracellular insulin action and beta-cell dysfunction, namely cysteine-s-sulphate and n-acetylgarginine, whereas fasting insulin was predicted by myristoleoylcarnitine, propionylcarnitine and other metabolites of beta-oxidation of fatty acids. OGTT-glucose levels at 30 min were predicted by 7-Hoca, a microbiota derived metabolite, as well as eugenol, a fatty acid. Both insulin clamp and HOMA-IR were predicted by metabolites involved in beta-oxidation of fatty acids and biodegradation of triacylglycerol, namely tartrate and 3-phosphoglycerate, as well as pyruvate, xanthine and liver fat. OGTT glucose area under curve (AUC) and OGTT insulin AUC, was associated with bile acid metabolites, subcutaneous adipocyte cell size, liver fat and fatty chain acids and derivates, such as isovalerylcarnitine. Finally, subcutaneous adipocyte size was associated with long chain fatty acids, markers of sphingolipid metabolism, increasing liver fat and dopamine-sulfate 1. Ectopic liver fat was predicted by methylmalonate, adipocyte cell size, glutathione derived metabolites and fatty chain acids. Ectopic heart fat was predicted visceral fat, gamma-glutamyl tyrosine and 2-acetamidophenol sulfate. Adipocyte cell size, age, alpha-tocopherol and blood pressure were associated with visceral fat. We identified several biomarkers associated with adipose tissue pathophysiology and insulin and glucose metabolism using a multi-modal machine learning approach. Our approach demonstrated the relative importance of serum metabolites and they outperformed traditional clinical and biochemical variables for most endpoints.;['Henninger J', 'Eliasson B', 'Smith U', 'Rawshani A'];Scientific reports;2021 Aug 23;Rawshani
34147442;Echo;Ventricular function;Artificial Intelligence for Automatic Measurement of Left Ventricular Strain in Echocardiography.;OBJECTIVES: This study sought to examine if fully automated measurements of global longitudinal strain (GLS) using a novel motion estimation technology based on deep learning and artificial intelligence (AI) are feasible and comparable with a conventional speckle-tracking application. BACKGROUND: GLS is an important parameter when evaluating left ventricular function. However, analyses of GLS are time consuming and demand expertise, and thus are underused in clinical practice. METHODS: In this study, 200 patients with a wide range of left ventricle (LV) function were included. Three standard apical cine-loops were analyzed using the AI pipeline. The AI method measured GLS and was compared with a commercially available semiautomatic speckle-tracking software (EchoPAC v202, GE Healthcare. RESULTS: The AI method succeeded to both correctly classify all 3 standard apical views and perform timing of cardiac events in 89% of patients. Furthermore, the method successfully performed automatic segmentation, motion estimates, and measurements of GLS in all examinations, across different cardiac pathologies and throughout the spectrum of LV function. GLS was -12.0 +/- 4.1% for the AI method and -13.5 +/- 5.3% for the reference method. Bias was -1.4 +/- 0.3% (95% limits of agreement: 2.3 to -5.1), which is comparable with intervendor studies. The AI method eliminated measurement variability and a complete GLS analysis was processed within 15 s. CONCLUSIONS: Through the range of LV function this novel AI method succeeds, without any operator input, to automatically identify the 3 standard apical views, perform timing of cardiac events, trace the myocardium, perform motion estimation, and measure GLS. Fully automated measurements based on AI could facilitate the clinical implementation of GLS.;['Salte IM', 'Ostvik A', 'Smistad E', 'Melichova D', 'Nguyen TM', 'Karlsen S', 'Brunvand H', 'Haugaa KH', 'Edvardsen T', 'Lovstakken L', 'Grenne B'];JACC. Cardiovascular imaging;2021 Oct;Grenne
33493114;Echo;Ventricular function;Myocardial Function Imaging in Echocardiography Using Deep Learning.;Deformation imaging in echocardiography has been shown to have better diagnostic and prognostic value than conventional anatomical measures such as ejection fraction. However, despite clinical availability and demonstrated efficacy, everyday clinical use remains limited at many hospitals. The reasons are complex, but practical robustness has been questioned, and a large inter-vendor variability has been demonstrated. In this work, we propose a novel deep learning based framework for motion estimation in echocardiography, and use this to fully automate myocardial function imaging. A motion estimator was developed based on a PWC-Net architecture, which achieved an average end point error of (0.06+/-0.04) mm per frame using simulated data from an open access database, on par or better compared to previously reported state of the art. We further demonstrate unique adaptability to image artifacts such as signal dropouts, made possible using trained models that incorporate relevant image augmentations. Further, a fully automatic pipeline consisting of cardiac view classification, event detection, myocardial segmentation and motion estimation was developed and used to estimate left ventricular longitudinal strain in vivo. The method showed promise by achieving a mean deviation of (-0.7+/-1.6)% compared to a semi-automatic commercial solution for N=30 patients with relevant disease, within the expected limits of agreement. We thus believe that learning-based motion estimation can facilitate extended use of strain imaging in clinical practice.;['Ostvik A', 'Salte IM', 'Smistad E', 'Nguyen TM', 'Melichova D', 'Brunvand H', 'Haugaa K', 'Edvardsen T', 'Grenne B', 'Lovstakken L'];IEEE transactions on medical imaging;2021 May;Grenne
32586339;Clinical data;Survival model;Identifying the relative importance of predictors of survival in out of hospital cardiac arrest: a machine learning study.;INTRODUCTION: Studies examining the factors linked to survival after out of hospital cardiac arrest (OHCA) have either aimed to describe the characteristics and outcomes of OHCA in different parts of the world, or focused on certain factors and whether they were associated with survival. Unfortunately, this approach does not measure how strong each factor is in predicting survival after OHCA. AIM: To investigate the relative importance of 16 well-recognized factors in OHCA at the time point of ambulance arrival, and before any interventions or medications were given, by using a machine learning approach that implies building models directly from the data, and arranging those factors in order of importance in predicting survival. METHODS: Using a data-driven approach with a machine learning algorithm, we studied the relative importance of 16 factors assessed during the pre-hospital phase of OHCA. We examined 45,000 cases of OHCA between 2008 and 2016. RESULTS: Overall, the top five factors to predict survival in order of importance were: initial rhythm, age, early Cardiopulmonary Resuscitation (CPR, time to CPR and CPR before arrival of EMS), time from EMS dispatch until EMS arrival, and place of cardiac arrest. The largest difference in importance was noted between initial rhythm and the remaining predictors. A number of factors, including time of arrest and sex were of little importance. CONCLUSION: Using machine learning, we confirm that the most important predictor of survival in OHCA is initial rhythm, followed by age, time to start of CPR, EMS response time and place of OHCA. Several factors traditionally viewed as important, e.g. sex, were of little importance.;['Al-Dury N', 'Ravn-Fischer A', 'Hollenberg J', 'Israelsson J', 'Nordberg P', 'Stromsoe A', 'Axelsson C', 'Herlitz J', 'Rawshani A'];Scandinavian journal of trauma, resuscitation and emergency medicine;2020 Jun 25;Rawshani
32561768;Clinical data;Other;Adipose tissue morphology, imaging and metabolomics predicting cardiometabolic risk and family history of type 2 diabetes in non-obese men.;We evaluated the importance of body composition, amount of subcutaneous and visceral fat, liver and heart ectopic fat, adipose tissue distribution and cell size as predictors of cardio-metabolic risk in 53 non-obese male individuals. Known family history of type 2 diabetes was identified in 25 individuals. The participants also underwent extensive phenotyping together with measuring different biomarkers and non-targeted serum metabolomics. We used ensemble learning and other machine learning approaches to identify predictors with considerable relative importance and their intricate interactions. Visceral fat and age were strong individual predictors of ectopic fat accumulation in liver and heart along with markers of lipid oxidation and reduced glucose tolerance. Subcutaneous adipose cell size was the strongest individual predictor of whole-body insulin sensitivity and also a marker of visceral and ectopic fat accumulation. The metabolite 3-MOB along with related branched-chain amino acids demonstrated strong predictability for family history of type 2 diabetes.;['Rawshani A', 'Eliasson B', 'Rawshani A', 'Henninger J', 'Mardinoglu A', 'Carlsson A', 'Sohlin M', 'Ljungberg M', 'Hammarstedt A', 'Rosengren A', 'Smith U'];Scientific reports;2020 Jun 19;Rawshani
32175861;Echo;Ventricular function;Real-Time Automatic Ejection Fraction and Foreshortening Detection Using Deep Learning.;Volume and ejection fraction (EF) measurements of the left ventricle (LV) in 2-D echocardiography are associated with a high uncertainty not only due to interobserver variability of the manual measurement, but also due to ultrasound acquisition errors such as apical foreshortening. In this work, a real-time and fully automated EF measurement and foreshortening detection method is proposed. The method uses several deep learning components, such as view classification, cardiac cycle timing, segmentation and landmark extraction, to measure the amount of foreshortening, LV volume, and EF. A data set of 500 patients from an outpatient clinic was used to train the deep neural networks, while a separate data set of 100 patients from another clinic was used for evaluation, where LV volume and EF were measured by an expert using clinical protocols and software. A quantitative analysis using 3-D ultrasound showed that EF is considerably affected by apical foreshortening, and that the proposed method can detect and quantify the amount of apical foreshortening. The bias and standard deviation of the automatic EF measurements were -3.6 +/- 8.1%, while the mean absolute difference was measured at 7.2% which are all within the interobserver variability and comparable with related studies. The proposed real-time pipeline allows for a continuous acquisition and measurement workflow without user interaction, and has the potential to significantly reduce the time spent on the analysis and measurement error due to foreshortening, while providing quantitative volume measurements in the everyday echo lab.;['Smistad E', 'Ostvik A', 'Salte IM', 'Melichova D', 'Nguyen TM', 'Haugaa K', 'Brunvand H', 'Edvardsen T', 'Leclerc S', 'Bernard O', 'Grenne B', 'Lovstakken L'];IEEE transactions on ultrasonics, ferroelectrics, and frequency control;2020 Dec;Grenne
30798638;Clinical data;Other;Relative Prognostic Importance and Optimal Levels of Risk Factors for Mortality and Cardiovascular Outcomes in Type 1 Diabetes Mellitus.;BACKGROUND: The strength of association and optimal levels for risk factors related to excess risk of death and cardiovascular outcomes in type 1 diabetes mellitus have been sparsely studied. METHODS: In a national observational cohort study from the Swedish National Diabetes Register from 1998 to 2014, we assessed relative prognostic importance of 17 risk factors for death and cardiovascular outcomes in individuals with type 1 diabetes mellitus. We used Cox regression and machine learning analyses. In addition, we examined optimal cut point levels for glycohemoglobin, systolic blood pressure, and low-density lipoprotein cholesterol. Patients with type 1 diabetes mellitus were followed up until death or study end on December 31, 2013. The primary outcomes were death resulting from all causes, fatal/nonfatal acute myocardial infarction, fatal/nonfatal stroke, and hospitalization for heart failure. RESULTS: Of 32 611 patients with type 1 diabetes mellitus, 1809 (5.5%) died during follow-up over 10.4 years. The strongest predictors for death and cardiovascular outcomes were glycohemoglobin, albuminuria, duration of diabetes mellitus, systolic blood pressure, and low-density lipoprotein cholesterol. Glycohemoglobin displayed  approximately 2% higher risk for each 1-mmol/mol increase (equating to  approximately 22% per 1% glycohemoglobin difference), whereas low-density lipoprotein cholesterol was associated with 35% to 50% greater risk for each 1-mmol/L increase. Microalbuminuria or macroalbuminuria was associated with 2 to 4 times greater risk for cardiovascular complications and death. Glycohemoglobin <53 mmol/mol (7.0%), systolic blood pressure <140 mm Hg, and low-density lipoprotein cholesterol <2.5 mmol/L were associated with significantly lower risk for outcomes observed. CONCLUSIONS: Glycohemoglobin, albuminuria, duration of diabetes mellitus, systolic blood pressure, and low-density lipoprotein cholesterol appear to be the most important predictors for mortality and cardiovascular outcomes in patients with type 1 diabetes mellitus. Lower levels for glycohemoglobin, systolic blood pressure, and low-density lipoprotein cholesterol than contemporary guideline target levels appear to be associated with significantly lower risk for outcomes.;['Rawshani A', 'Rawshani A', 'Sattar N', 'Franzen S', 'McGuire DK', 'Eliasson B', 'Svensson AM', 'Zethelius B', 'Miftaraj M', 'Rosengren A', 'Gudbjornsdottir S'];Circulation;2019 Apr 16;Rawshani
